resume_id,cluster_id,cluster_name,umap_x,umap_y
f6c71b7e,6,Problem Solving Specialists,-8.560226,5.1102757
e06ce633,6,Problem Solving Specialists,-8.502029,3.8983736
7451414d,6,Problem Solving Specialists,-8.390383,5.3906336
6a00ddbf,6,Problem Solving Specialists,-8.214904,3.9118044
701b469d,6,Problem Solving Specialists,-8.361376,5.4302607
8e27345f,6,Problem Solving Specialists,-8.416623,3.917193
d6d1812d,6,Problem Solving Specialists,-8.430769,3.8686397
1d1dca64,6,Problem Solving Specialists,-8.596993,3.860091
9f699405,6,Problem Solving Specialists,-8.466999,3.813282
ef33be11,6,Problem Solving Specialists,-8.769437,4.9583597
5e77bf18,6,Problem Solving Specialists,-8.822203,4.926399
a5909ae0,6,Problem Solving Specialists,-8.328555,5.3317604
dd564b52,6,Problem Solving Specialists,-8.438685,3.8257551
d858885a,6,Problem Solving Specialists,-8.249715,3.8177857
26e87727,6,Problem Solving Specialists,-8.443033,5.501025
a0e83d66,6,Problem Solving Specialists,-8.95622,5.0468297
657d9e2a,6,Problem Solving Specialists,-8.8791275,4.955462
f7cc98e8,6,Problem Solving Specialists,-8.438786,3.7125735
a4edf455,6,Problem Solving Specialists,-8.249853,5.449113
1e5eb03a,6,Problem Solving Specialists,-8.362392,5.3976855
de5cdd7b,6,Problem Solving Specialists,-8.949156,4.914367
608960a8,6,Problem Solving Specialists,-8.256615,5.4333906
e1a9592a,1,Autocad Specialists,10.803275,0.23064655
8c5b3f10,1,Autocad Specialists,10.737685,0.113747954
1b608f6f,0,Problem Solving Specialists,17.698954,2.7546072
57b491a7,1,Autocad Specialists,10.783768,-0.039261296
b1a051f2,1,Autocad Specialists,10.744538,-0.092529185
c234a5db,1,Autocad Specialists,10.437781,0.223266
94041990,0,Problem Solving Specialists,17.719292,2.73394
1c128da6,0,Problem Solving Specialists,17.768711,2.6849625
50f61c38,1,Autocad Specialists,10.668141,0.20666708
98830dc0,1,Autocad Specialists,10.679344,0.051151626
13a940ea,1,Autocad Specialists,10.6535,-0.15104179
9419c862,0,Problem Solving Specialists,17.802708,2.651001
f6bca518,1,Autocad Specialists,10.713588,-0.22811137
2e104cec,1,Autocad Specialists,10.696431,-0.23097269
80bab839,1,Autocad Specialists,10.945903,0.08434797
394a5809,1,Autocad Specialists,10.943549,-0.20616499
066cb674,1,Autocad Specialists,10.919465,-0.09570384
74365e16,1,Autocad Specialists,11.049896,-0.041060254
b8625251,1,Autocad Specialists,11.095575,-0.21157853
52b80f89,1,Autocad Specialists,10.97239,-0.30141774
55133571,1,Autocad Specialists,11.170294,-0.12228963
01e25cc5,0,Problem Solving Specialists,17.681942,2.7717032
18ca0cb1,0,Problem Solving Specialists,17.642601,2.81105
bb4160c8,1,Autocad Specialists,10.318096,0.16989852
1c92a6f7,0,Problem Solving Specialists,17.717009,2.7366471
db6dcea4,1,Autocad Specialists,11.042467,-0.18230651
6659b80c,1,Autocad Specialists,10.543906,0.06074548
8b6cdb11,0,Problem Solving Specialists,17.709667,2.7441304
a1d17c96,1,Autocad Specialists,10.434619,0.0072213234
2ba35c71,1,Autocad Specialists,10.319492,0.14617327
38382f13,1,Autocad Specialists,10.326691,0.21583827
382b167b,0,Problem Solving Specialists,17.686728,2.7658613
511d38f6,1,Autocad Specialists,10.431489,0.18275036
ac4ce4bb,0,Problem Solving Specialists,17.554262,2.899449
4c8ad922,1,Autocad Specialists,10.527213,0.31836075
a8b0a305,1,Autocad Specialists,10.302416,0.37833884
8807e8af,1,Autocad Specialists,11.040505,-0.008406882
6c437d3d,1,Autocad Specialists,10.885467,-0.024433045
92578629,1,Autocad Specialists,10.954863,-0.3535905
cc4f574f,1,Autocad Specialists,10.653586,-0.15242739
0223ebc9,3,Staad.Pro Specialists,14.176931,14.252322
b171e5b1,3,Staad.Pro Specialists,14.651518,14.00643
bc3f872b,3,Staad.Pro Specialists,15.4719305,14.79676
8eb54d37,3,Staad.Pro Specialists,15.427728,14.78615
03a383c8,3,Staad.Pro Specialists,14.154336,14.300358
fe7df1a3,3,Staad.Pro Specialists,14.867473,14.418338
2c3f6fa2,3,Staad.Pro Specialists,15.42875,14.800413
43274a53,3,Staad.Pro Specialists,14.55819,14.223664
673eef18,3,Staad.Pro Specialists,14.077985,14.195814
ac08e843,3,Staad.Pro Specialists,14.509851,14.18337
d37d889d,3,Staad.Pro Specialists,14.132946,14.382537
cc35ea46,3,Staad.Pro Specialists,14.296146,14.1102495
3427f5f5,3,Staad.Pro Specialists,14.126366,14.544518
83944575,3,Staad.Pro Specialists,15.407585,14.710852
e518242c,3,Staad.Pro Specialists,14.053425,14.558231
001da176,3,Staad.Pro Specialists,15.505446,14.864322
2a552486,3,Staad.Pro Specialists,14.458858,14.222005
3f400fa8,3,Staad.Pro Specialists,15.581276,14.9090185
b809ea2f,3,Staad.Pro Specialists,15.575248,14.904729
728cc029,3,Staad.Pro Specialists,14.392612,14.607252
e9ee82c0,3,Staad.Pro Specialists,14.398932,13.907138
78e33478,3,Staad.Pro Specialists,15.424204,14.787049
2797b5f9,3,Staad.Pro Specialists,14.31144,13.922972
f416d1b8,3,Staad.Pro Specialists,14.567298,13.849537
36b09ac0,3,Staad.Pro Specialists,15.548334,14.901454
a72a54a1,3,Staad.Pro Specialists,15.467599,14.806057
91499e78,3,Staad.Pro Specialists,14.500583,14.488347
cf08f0c6,3,Staad.Pro Specialists,14.467401,13.911429
87c0fedb,3,Staad.Pro Specialists,15.603161,14.934817
cbfcef4a,3,Staad.Pro Specialists,15.6474495,15.002987
c9f31169,3,Staad.Pro Specialists,14.358917,14.015226
760c11a4,3,Staad.Pro Specialists,14.4088125,13.803433
4f2f7a38,3,Staad.Pro Specialists,14.714884,13.859898
8e401c66,3,Staad.Pro Specialists,14.540491,14.468553
920f30f5,3,Staad.Pro Specialists,14.345023,13.900922
69beaa00,3,Staad.Pro Specialists,14.66195,13.903277
74cb397f,3,Staad.Pro Specialists,14.605859,13.84704
1e981aba,3,Staad.Pro Specialists,14.368484,14.65623
4bc651c6,3,Staad.Pro Specialists,15.517456,14.773619
22dbcc98,3,Staad.Pro Specialists,15.685333,15.020436
7dce65d6,0,Problem Solving Specialists,-19.22477,-17.699488
e9d7b49b,0,Problem Solving Specialists,-19.313135,-18.059208
c1437a7d,0,Problem Solving Specialists,-19.19973,-17.847277
e4cbcc80,0,Problem Solving Specialists,-18.94946,-17.765654
7fad425b,0,Problem Solving Specialists,-18.780058,-17.716154
823f0567,0,Problem Solving Specialists,-18.91894,-18.1855
72f96a3d,0,Problem Solving Specialists,-18.8872,-18.006912
af948401,0,Problem Solving Specialists,-18.888084,-18.31978
82866f42,0,Problem Solving Specialists,-18.608643,-18.068024
8e4edb28,0,Problem Solving Specialists,-18.921322,-18.100845
4507e516,0,Problem Solving Specialists,-19.026972,-18.310427
e6580c3d,0,Problem Solving Specialists,-18.62351,-18.410702
380d6c28,0,Problem Solving Specialists,-19.154581,-17.67313
e6f8c684,0,Problem Solving Specialists,-18.771147,-18.147924
8fc19b2b,0,Problem Solving Specialists,-19.201555,-18.464912
639b1640,0,Problem Solving Specialists,-19.489988,-18.136984
18f34e0c,0,Problem Solving Specialists,-18.903389,-17.82202
b4d3a694,0,Problem Solving Specialists,-19.27318,-18.290756
1fc59d35,0,Problem Solving Specialists,-18.848583,-18.087873
d0cb7149,0,Problem Solving Specialists,-18.846882,-18.146917
43649994,0,Problem Solving Specialists,-18.908787,-17.620337
76b2f035,0,Problem Solving Specialists,-19.05489,-18.617102
316534e8,0,Problem Solving Specialists,-18.975275,-17.698483
8b70f493,0,Problem Solving Specialists,-18.779207,-17.758963
fb1db003,0,Problem Solving Specialists,-18.607452,-17.679462
fca8e1a4,0,Problem Solving Specialists,-18.980616,-17.953554
